iter	Passed	Remaining
0	3	375
1	8	424
2	13	446
3	16	400
4	23	454
5	28	451
6	35	466
7	50	578
8	52	535
9	62	558
10	63	516
11	65	483
12	70	470
13	71	441
14	73	415
15	74	391
16	76	374
17	77	354
18	79	337
19	81	324
20	82	310
21	84	298
22	85	286
23	86	274
24	88	265
25	92	263
26	93	254
27	96	247
28	97	238
29	98	229
30	99	221
31	104	221
32	106	215
33	107	208
34	108	202
35	110	197
36	112	190
37	113	185
38	115	180
39	116	175
40	118	170
41	119	164
42	120	159
43	121	154
44	122	149
45	126	148
46	128	144
47	129	140
48	131	137
49	132	132
50	134	129
51	139	128
52	140	124
53	142	121
54	143	117
55	144	113
56	145	110
57	150	109
58	152	106
59	154	102
60	155	99
61	156	96
62	158	92
63	159	89
64	162	87
65	163	84
66	164	81
67	166	78
68	167	75
69	168	72
70	169	69
71	174	67
72	176	65
73	177	62
74	179	59
75	180	56
76	181	54
77	182	51
78	185	49
79	187	46
80	189	44
81	190	41
82	192	39
83	193	36
84	194	34
85	196	31
86	198	29
87	199	27
88	201	24
89	202	22
90	203	20
91	205	17
92	206	15
93	208	13
94	209	11
95	211	8
96	212	6
97	214	4
98	215	2
99	219	0
